Generation,Minimum,Average,Maximum
Population Size = 100,Method = 2, Crossover Probability = 1.0,Mutation Probability = 0.01
1,5,9.90,15
2,7,11.30,15
3,8,12.23,16
4,10,13.40,18
5,10,14.28,18
6,11,15.15,18
7,11,15.91,19
8,14,16.72,20
