Generation,Minimum,Average,Maximum
Population Size = 100,Method = 1, Crossover Probability = 1.0,Mutation Probability = 0.01
1,5,9.60,15
2,6,10.02,15
3,5,10.78,16
4,5,11.36,17
5,5,11.42,17
6,6,11.98,18
7,7,12.58,17
8,5,12.81,17
9,6,12.99,18
10,7,13.00,19
11,8,13.60,18
12,9,14.17,19
13,9,14.68,19
14,11,15.19,19
15,11,15.33,19
16,12,15.40,18
17,11,15.28,19
18,11,15.52,19
19,10,15.88,19
20,11,16.27,19
21,10,16.32,20
