Generation,Minimum,Average,Maximum
Population Size = 100,Method = 1, Crossover Probability = 0.5,Mutation Probability = 0.05
1,5,9.97,15
2,5,10.46,15
3,7,10.98,15
4,7,10.99,15
5,8,11.25,16
6,7,11.35,15
7,6,11.62,17
8,5,11.78,17
9,7,12.37,18
10,5,12.62,18
11,9,13.04,18
12,9,13.25,18
13,8,13.41,18
14,9,13.23,19
15,9,13.79,19
16,9,14.23,17
17,11,14.51,18
18,11,14.77,18
19,11,14.97,19
20,11,15.17,19
21,11,15.43,19
22,11,15.76,19
23,11,15.97,19
24,13,16.32,19
25,13,16.48,19
26,13,16.45,19
27,13,16.44,20
