Generation,Minimum,Average,Maximum
Population Size = 100,Method = 1, Crossover Probability = 0.5,Mutation Probability = 0.01
1,4,9.81,16
2,5,10.25,16
3,6,10.60,17
4,6,11.21,17
5,6,11.61,16
6,8,12.01,16
7,8,12.63,17
8,8,13.12,17
9,8,13.44,18
10,8,13.95,19
11,7,13.90,18
12,10,14.56,18
13,10,14.95,18
14,11,15.19,19
15,11,15.44,19
16,12,15.70,18
17,13,15.74,19
18,13,15.66,19
19,13,15.90,19
20,13,15.99,19
21,12,16.30,19
22,12,16.46,19
23,14,16.62,19
24,14,16.72,20
